Year,Géographie,Type de production d'électricité,GeoCode,Value
2021,Territoires du Nord-Ouest,Turbine à hydraulique,61,37.87
2021,Territoires du Nord-Ouest,Solaire,61,0.03
2021,Territoires du Nord-Ouest,Turbine éolienne,61,2.51
2021,Nouvelle-Écosse,Turbine à hydraulique,12,8.55
2021,Nouvelle-Écosse,Autres types de production électrique,12,0.0
2021,Nouvelle-Écosse,Solaire,12,0.0
2021,Nouvelle-Écosse,Turbine marémotrice,12,0.0
2021,Nouvelle-Écosse,Turbine éolienne,12,12.13
2021,Nunavut,Turbine à hydraulique,62,0.0
2021,Nunavut,Solaire,62,0.0
2021,Nunavut,Turbine éolienne,62,0.0
2021,Ontario,Turbine à hydraulique,35,23.79
2021,Ontario,Autres types de production électrique,35,0.0
2021,Ontario,Solaire,35,1.66
2021,Ontario,Turbine éolienne,35,8.47
2021,Île-du-Prince-Édouard,Turbine à hydraulique,11,0.0
2021,Île-du-Prince-Édouard,Autres types de production électrique,11,0.0
2021,Île-du-Prince-Édouard,Solaire,11,0.09
2021,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2021,Île-du-Prince-Édouard,Turbine éolienne,11,98.83
2021,Québec,Turbine à hydraulique,24,94.16
2021,Québec,Autres types de production électrique,24,0.0
2021,Québec,Solaire,24,0.0
2021,Québec,Turbine éolienne,24,4.86
2021,Saskatchewan,Turbine à hydraulique,47,12.03
2021,Saskatchewan,Autres types de production électrique,47,0.42
2021,Saskatchewan,Solaire,47,0.02
2021,Saskatchewan,Turbine éolienne,47,3.5
2021,Yukon,Turbine à hydraulique,60,88.42
2021,Yukon,Autres types de production électrique,60,0.0
2021,Yukon,Solaire,60,0.02
2021,Yukon,Turbine éolienne,60,0.0
2022,Alberta,Turbine à hydraulique,48,3.0
2022,Alberta,Autres types de production électrique,48,0.05
2022,Alberta,Solaire,48,1.13
2022,Alberta,Turbine éolienne,48,9.6
2022,Colombie-Britannique,Turbine à hydraulique,59,90.93
2022,Colombie-Britannique,Autres types de production électrique,59,0.0
2022,Colombie-Britannique,Solaire,59,0.01
2022,Colombie-Britannique,Turbine marémotrice,59,0.0
2022,Colombie-Britannique,Turbine éolienne,59,2.08
2022,Canada,Turbine à hydraulique,,61.29
2022,Canada,Autres types de production électrique,,0.02
2022,Canada,Solaire,,0.5
2022,Canada,Turbine marémotrice,,0.0
2022,Canada,Turbine éolienne,,6.1
2022,Manitoba,Turbine à hydraulique,46,97.09
2022,Manitoba,Autres types de production électrique,46,0.0
2022,Manitoba,Solaire,46,0.0
2022,Manitoba,Turbine éolienne,46,2.61
2022,Nouveau-Brunswick,Turbine à hydraulique,13,26.81
